Lieu	N° région, département	Série	Unité	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
PROVENCE-ALPES-COTE D AZUR	93	ES16Revenu disponible brut	millions d'euros	72530.7	76007.2	78569.5	81958.3	85105.6	88629.9	92668.6	94331.4	95201.5	96822.3
PROVENCE-ALPES-COTE D AZUR	93	ES16Revenu disponible brut par habitant	Euros	15744.0	16338.0	16727.0	17277.0	17760.0	18313.0	18981.0	19307.0	19417.0	19738.0
RHONE-ALPES	82	ES16Excédent brut et revenu mixte	millions d'euros	21174.1	21679.0	22443.2	23546.6	24700.4	26128.5	27933.7	28194.4	26968.7	26953.0
RHONE-ALPES	82	ES16Salaires et traitements bruts	millions d'euros	55657.2	58023.9	59364.2	61543.4	64182.5	68545.1	71698.9	72959.9	72637.5	75214.1
RHONE-ALPES	82	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	9077.5	9571.3	9993.6	10446.4	10658.7	11538.6	11955.2	12470.5	12591.6	12902.1
RHONE-ALPES	82	ES16Impôts	millions d'euros	12339.3	12483.6	12964.8	13404.1	14180.1	14810.6	15156.8	15657.5	15028.2	15442.3
RHONE-ALPES	82	ES16Prestations en espèces	millions d'euros	27130.9	28758.3	30130.3	31657.3	32222.6	32899.7	33751.7	35610.9	38300.0	39157.6
RHONE-ALPES	82	ES16Autres	millions d'euros	10807.7	11257.6	11557.8	12412.3	12815.8	13659.6	14486.9	13292.1	12896.1	12768.8
RHONE-ALPES	82	ES16Revenu disponible brut	millions d'euros	93353.1	97663.9	100537.1	105309.1	109082.5	114883.7	120759.2	121929.3	123182.5	125749.1
RHONE-ALPES	82	ES16Revenu disponible brut par habitant	Euros	16182.0	16771.0	17105.0	17746.0	18203.0	19009.0	19831.0	19840.0	19874.0	20092.0
Producteur : INSEE (Institut National de la Statistique et des Etudes Economiques).
Source : Comptes régionaux.
